State,Year,Severity1Count,Severity2Count,Severity3Count,Severity4Count,TotalAccidentCount
AL,2016,0,74,25,36,135
AL,2017,3,1310,1458,133,2904
AL,2018,10,8371,5564,155,14100
AL,2019,6,14161,4881,190,19238
AL,2020,114,15870,3916,285,20185
AL,2021,3,19396,3622,489,23510
AL,2022,545,16924,2076,509,20054
AL,2023,0,887,0,31,918
AR,2016,0,17,4,5,26
AR,2017,0,46,35,53,134
AR,2018,0,241,162,195,598
AR,2019,0,556,238,197,991
AR,2020,11,2705,91,283,3090
AR,2021,0,6552,55,777,7384
AR,2022,26,8154,92,1160,9432
AR,2023,0,968,0,157,1125
AZ,2016,0,1944,357,469,2770
AZ,2017,7,9053,2413,856,12329
AZ,2018,8,16760,5079,859,22706
AZ,2019,6,19496,4152,875,24529
AZ,2020,6702,19875,2225,733,29535
AZ,2021,3,30470,2118,484,33075
AZ,2022,663,36842,1207,711,39423
AZ,2023,0,6113,0,129,6242
CA,2016,99,86963,52179,1211,140452
CA,2017,88,93223,57829,1608,152748
CA,2018,41,96868,58392,1597,156898
CA,2019,18,168661,42796,1980,213455
CA,2020,5562,251646,25847,2477,285532
CA,2021,19,318194,22396,1267,341876
CA,2022,4457,355953,12375,3128,375913
CA,2023,0,74325,0,234,74559
CO,2016,0,701,214,409,1324
CO,2017,2,4455,1955,693,7105
CO,2018,1,8127,5216,805,14149
CO,2019,2,7983,8355,1280,17620
CO,2020,516,6701,5859,813,13889
CO,2021,1,7818,2947,810,11576
CO,2022,448,16497,1760,2225,20930
CO,2023,0,3823,0,469,4292
CT,2016,7,2108,1760,335,4210
CT,2017,4,3096,3150,492,6742
CT,2018,4,2850,3115,452,6421
CT,2019,2,2616,2436,403,5457
CT,2020,5,6413,2134,789,9341
CT,2021,0,13235,2279,658,16172
CT,2022,50,17730,1495,896,20171
CT,2023,0,2344,0,147,2491
DC,2016,0,263,133,58,454
DC,2017,0,458,234,71,763
DC,2018,0,552,270,133,955
DC,2019,1,1114,231,141,1487
DC,2020,43,2034,250,305,2632
DC,2021,0,4601,38,46,4685
DC,2022,99,6776,21,63,6959
DC,2023,0,691,0,4,695
DE,2016,0,111,67,103,281
DE,2017,0,642,85,164,891
DE,2018,2,1318,156,168,1644
DE,2019,1,1388,92,139,1620
DE,2020,8,1917,262,291,2478
DE,2021,0,3616,31,294,3941
DE,2022,223,2473,22,370,3088
DE,2023,0,131,0,23,154
FL,2016,15,26076,10187,782,37060
FL,2017,25,40071,19071,1539,60706
FL,2018,16,40010,23665,2090,65781
FL,2019,15,38558,18719,3021,60313
FL,2020,2951,109620,15560,2231,130362
FL,2021,11,227755,11274,1568,240608
FL,2022,4050,251875,5589,1605,263119
FL,2023,0,21930,0,313,22243
GA,2016,5,5146,7291,807,13249
GA,2017,9,8319,12143,1600,22071
GA,2018,6,10008,12630,1988,24632
GA,2019,7,11155,10347,2209,23718
GA,2020,381,13082,8219,1745,23427
GA,2021,3,12819,6660,1069,20551
GA,2022,596,25969,3955,2609,33129
GA,2023,0,7708,0,749,8457
IA,2016,2,1041,771,191,2005
IA,2017,0,1375,1307,334,3016
IA,2018,0,1072,1333,78,2483
IA,2019,1,1191,1416,234,2842
IA,2020,3,2301,1027,318,3649
IA,2021,1,5616,730,604,6951
IA,2022,51,4190,370,280,4891
IA,2023,0,440,0,30,470
ID,2016,0,320,51,48,419
ID,2017,0,238,48,82,368
ID,2018,0,377,40,2,419
ID,2019,0,441,50,63,554
ID,2020,0,2171,24,124,2319
ID,2021,0,4551,10,202,4763
ID,2022,1,2236,2,25,2264
ID,2023,0,270,0,0,270
IL,2016,1,12463,4256,359,17079
IL,2017,8,17450,7104,748,25310
IL,2018,6,16524,6767,791,24088
IL,2019,0,12493,6602,874,19969
IL,2020,252,9870,14216,669,25007
IL,2021,0,13843,14447,164,28454
IL,2022,1353,18383,4356,518,24610
IL,2023,0,4247,0,194,4441
IN,2016,0,739,414,470,1623
IN,2017,4,4565,1737,641,6947
IN,2018,10,9469,3533,696,13708
IN,2019,3,3939,3145,685,7772
IN,2020,43,4014,3197,552,7806
IN,2021,1,9948,2277,1150,13376
IN,2022,266,11411,1574,1248,14499
IN,2023,0,1330,0,163,1493
KS,2016,0,599,96,67,762
KS,2017,0,925,721,91,1737
KS,2018,0,945,1359,102,2406
KS,2019,0,804,1072,119,1995
KS,2020,5,1433,1114,92,2644
KS,2021,0,3216,617,137,3970
KS,2022,29,5972,342,182,6525
KS,2023,0,943,0,10,953
KY,2016,1,663,175,229,1068
KY,2017,2,1533,1594,153,3282
KY,2018,3,3396,4375,178,7952
KY,2019,1,3848,2782,201,6832
KY,2020,34,3914,1473,147,5568
KY,2021,0,3250,1359,156,4765
KY,2022,250,1583,718,162,2713
KY,2023,0,68,0,6,74
LA,2016,0,570,112,167,849
LA,2017,2,9939,2148,144,12233
LA,2018,11,16131,4002,286,20430
LA,2019,6,15039,3631,304,18980
LA,2020,1248,21206,3432,456,26342
LA,2021,8,30850,2755,386,33999
LA,2022,1259,30817,1495,199,33770
LA,2023,0,3095,0,3,3098
MA,2016,5,3469,1686,40,5200
MA,2017,3,5549,3435,59,9046
MA,2018,5,5334,4007,81,9427
MA,2019,2,5562,3712,73,9349
MA,2020,169,7801,2963,168,11101
MA,2021,1,9548,1840,75,11464
MA,2022,1315,3947,980,39,6281
MA,2023,0,116,0,12,128
MD,2016,15,3323,3601,603,7542
MD,2017,8,5132,5673,1528,12341
MD,2018,3,4890,4896,1230,11019
MD,2019,7,6955,4183,1317,12462
MD,2020,275,17918,4159,1999,24351
MD,2021,2,28408,1900,1843,32153
MD,2022,207,33920,1038,2214,37379
MD,2023,0,3012,0,158,3170
ME,2016,0,84,8,43,135
ME,2017,0,551,20,20,591
ME,2018,0,685,15,3,703
ME,2019,1,579,25,31,636
ME,2020,0,216,57,8,281
ME,2021,0,115,115,13,243
ME,2022,3,29,76,1,109
MI,2016,6,10828,5197,621,16652
MI,2017,5,15903,10386,1175,27469
MI,2018,12,13739,9192,1382,24325
MI,2019,6,12208,6597,1549,20360
MI,2020,32,11234,3679,818,15763
MI,2021,32,19298,3848,500,23678
MI,2022,955,25106,1589,1325,28975
MI,2023,0,4704,0,265,4969
MN,2016,0,2339,178,50,2567
MN,2017,1,4627,5707,99,10434
MN,2018,3,8499,11638,87,20227
MN,2019,5,21659,7825,118,29607
MN,2020,33,35716,3269,175,39193
MN,2021,2,41517,1060,174,42753
MN,2022,445,37553,207,149,38354
MN,2023,0,8938,0,11,8949
MO,2016,5,2196,1361,196,3758
MO,2017,0,3641,3403,342,7386
MO,2018,2,3140,5167,476,8785
MO,2019,0,3536,5170,427,9133
MO,2020,64,5144,4786,378,10372
MO,2021,0,11741,3528,393,15662
MO,2022,199,17036,1990,616,19841
MO,2023,0,2332,0,54,2386
MS,2016,0,293,71,38,402
MS,2017,0,487,479,71,1037
MS,2018,0,1328,1132,79,2539
MS,2019,1,1211,690,82,1984
MS,2020,4,1397,530,88,2019
MS,2021,0,2796,447,198,3441
MS,2022,24,2979,221,259,3483
MS,2023,0,248,0,28,276
MT,2016,0,37,13,12,62
MT,2017,0,69,29,35,133
MT,2018,0,65,66,21,152
MT,2019,0,92,27,38,157
MT,2020,0,2432,6,12,2450
MT,2021,0,9199,2,115,9316
MT,2022,0,13851,0,221,14072
MT,2023,0,2149,0,5,2154
NC,2016,0,5634,243,270,6147
NC,2017,6,29677,3887,538,34108
NC,2018,9,47258,8236,759,56262
NC,2019,15,38733,6480,771,45999
NC,2020,1806,40599,4822,1406,48633
NC,2021,10,59879,3463,2398,65750
NC,2022,3293,62953,2459,3462,72167
NC,2023,0,8333,0,800,9133
ND,2016,0,0,0,3,3
ND,2017,0,1,3,0,4
ND,2018,0,16,3,0,19
ND,2019,0,4,5,8,17
ND,2020,0,398,1,0,399
ND,2021,0,1527,0,2,1529
ND,2022,1,1281,2,4,1288
ND,2023,0,228,0,0,228
NE,2016,3,5071,694,43,5811
NE,2017,4,5185,945,69,6203
NE,2018,3,4781,1011,55,5850
NE,2019,2,3835,720,88,4645
NE,2020,26,1996,391,80,2493
NE,2021,1,1883,254,163,2301
NE,2022,54,1211,136,77,1478
NE,2023,0,85,0,4,89
NH,2016,0,226,35,54,315
NH,2017,0,1725,246,65,2036
NH,2018,1,2004,490,16,2511
NH,2019,1,1726,461,31,2219
NH,2020,2,1090,373,31,1496
NH,2021,0,794,296,38,1128
NH,2022,78,253,158,19,508
NJ,2016,2,5226,2135,590,7953
NJ,2017,5,9425,3927,753,14110
NJ,2018,9,9838,4446,697,14990
NJ,2019,5,8874,3424,715,13018
NJ,2020,75,14064,3207,1244,18590
NJ,2021,2,21760,2570,761,25093
NJ,2022,101,39526,1609,1008,42244
NJ,2023,0,4602,0,119,4721
NM,2016,0,93,25,35,153
NM,2017,0,656,394,90,1140
NM,2018,1,1239,795,77,2112
NM,2019,0,787,704,125,1616
NM,2020,49,994,310,83,1436
NM,2021,2,1903,365,74,2344
NM,2022,101,978,256,78,1413
NM,2023,0,100,0,11,111
NV,2016,0,1161,102,94,1357
NV,2017,0,1523,822,159,2504
NV,2018,0,1404,1172,87,2663
NV,2019,1,1964,946,90,3001
NV,2020,3,2096,305,38,2442
NV,2021,0,3889,254,110,4253
NV,2022,124,3978,89,95,4286
NV,2023,0,1112,0,47,1159
NY,2016,3,11439,7648,1007,20097
NY,2017,8,21362,14106,1510,36986
NY,2018,6,21281,15368,1395,38050
NY,2019,5,28560,12890,1512,42967
NY,2020,713,35615,10373,2104,48805
NY,2021,5,47327,6595,1543,55470
NY,2022,507,89705,3082,1471,94765
NY,2023,0,10613,0,207,10820
OH,2016,6,7159,2933,1233,11331
OH,2017,3,8034,4072,1547,13656
OH,2018,6,10298,5725,1630,17659
OH,2019,1,8344,4328,562,13235
OH,2020,515,12210,3800,715,17240
OH,2021,1,8378,5718,133,14230
OH,2022,1174,20079,4013,480,25746
OH,2023,0,4871,0,147,5018
OK,2016,0,453,31,86,570
OK,2017,7,8623,971,157,9758
OK,2018,4,18573,1814,97,20488
OK,2019,4,18546,1862,71,20483
OK,2020,59,11914,1580,37,13590
OK,2021,5,8718,456,15,9194
OK,2022,1224,7638,86,21,8969
OK,2023,0,594,0,1,595
OR,2016,0,579,190,257,1026
OR,2017,0,4292,1331,552,6175
OR,2018,0,19168,2746,606,22520
OR,2019,2,37574,2656,966,41198
OR,2020,1269,30162,1560,1461,34452
OR,2021,4,36590,878,759,38231
OR,2022,48,28605,369,1105,30127
OR,2023,0,5743,0,188,5931
PA,2016,12,17523,2534,1163,21232
PA,2017,12,21213,4268,1412,26905
PA,2018,7,15005,6030,1188,22230
PA,2019,6,14102,5034,958,20100
PA,2020,183,34872,6109,2025,43189
PA,2021,2,63056,4330,4132,71520
PA,2022,1509,72296,2726,4308,80839
PA,2023,0,9924,0,681,10605
RI,2016,0,785,615,9,1409
RI,2017,0,1300,1545,20,2865
RI,2018,0,1396,1821,42,3259
RI,2019,0,1504,1441,31,2976
RI,2020,71,1302,1000,14,2387
RI,2021,0,1588,834,3,2425
RI,2022,118,1011,472,0,1601
RI,2023,0,49,0,0,49
SC,2016,1,2338,571,105,3015
SC,2017,3,21165,6986,179,28333
SC,2018,10,42969,13150,229,56358
SC,2019,26,47881,10660,430,58997
SC,2020,85,56767,5271,666,62789
SC,2021,7,75189,3634,821,79651
SC,2022,6043,76056,2198,583,84880
SC,2023,0,8452,0,82,8534
SD,2016,0,1,3,4,8
SD,2017,0,6,2,4,12
SD,2018,0,8,1,4,13
SD,2019,0,2,2,23,27
SD,2020,0,154,0,6,160
SD,2021,0,27,0,5,32
SD,2022,0,23,0,14,37
TN,2016,0,1165,286,237,1688
TN,2017,7,7093,3548,369,11017
TN,2018,9,15394,8649,422,24474
TN,2019,4,14899,5792,440,21135
TN,2020,1448,21927,4676,412,28463
TN,2021,4,34809,3729,689,39231
TN,2022,863,35353,1830,864,38910
TN,2023,0,2414,0,56,2470
TX,2016,23,37014,12285,447,49769
TX,2017,38,61398,23256,896,85588
TX,2018,40,59113,23868,1090,84111
TX,2019,19,57577,20103,1019,78718
TX,2020,960,53846,17167,1515,73488
TX,2021,14,86114,15191,511,101830
TX,2022,3139,82241,8573,1556,95509
TX,2023,0,13649,0,175,13824
UT,2016,0,725,136,107,968
UT,2017,0,2093,2319,240,4652
UT,2018,3,6659,4189,336,11187
UT,2019,0,20591,3660,510,24761
UT,2020,394,13505,2100,193,16192
UT,2021,2,17783,1719,117,19621
UT,2022,233,16201,877,128,17439
UT,2023,0,2244,0,15,2259
VA,2016,8,3364,2543,578,6493
VA,2017,6,10750,8792,1195,20743
VA,2018,4,13628,11915,1496,27043
VA,2019,10,14838,9509,1357,25714
VA,2020,1720,32480,8383,2220,44803
VA,2021,2,57063,6432,4271,67768
VA,2022,1365,88264,3750,5932,99311
VA,2023,0,10273,0,1153,11426
VT,2016,0,2,1,14,17
VT,2017,1,116,23,15,155
VT,2018,0,144,35,9,188
VT,2019,0,152,52,21,225
VT,2020,0,117,56,13,186
VT,2021,0,66,36,15,117
VT,2022,2,19,14,3,38
WA,2016,6,6307,2786,216,9315
WA,2017,10,11868,5963,656,18497
WA,2018,4,11451,6746,783,18984
WA,2019,10,8025,5654,1029,14718
WA,2020,505,8463,3772,471,13211
WA,2021,3,12105,3641,344,16093
WA,2022,327,13197,1364,528,15416
WA,2023,0,1923,0,64,1987
WI,2016,0,1076,135,351,1562
WI,2017,0,1890,1451,770,4111
WI,2018,0,1923,2426,690,5039
WI,2019,1,4059,2177,652,6889
WI,2020,32,1878,1749,274,3933
WI,2021,0,1529,1326,175,3030
WI,2022,57,7191,342,488,8078
WI,2023,0,1984,0,62,2046
WV,2016,0,291,68,70,429
WV,2017,1,385,131,183,700
WV,2018,0,380,192,99,671
WV,2019,0,296,76,101,473
WV,2020,1,1036,47,87,1171
WV,2021,0,3645,9,148,3802
WV,2022,0,5218,1,125,5344
WV,2023,0,1193,0,10,1203
WY,2016,0,27,9,33,69
WY,2017,0,37,17,58,112
WY,2018,0,39,107,52,198
WY,2019,0,26,43,43,112
WY,2020,0,8,5,16,29
WY,2021,0,654,0,90,744
WY,2022,0,1863,1,211,2075
WY,2023,0,374,0,44,418
